,state_name,district_name,crop_year,season,crop,area,production,rainfall
1,Kerala,ALAPPUZHA,2002,Autumn     ,Rice,3721,1911.5,2475
2,Kerala,ALAPPUZHA,2002,Kharif     ,Sesamum,74,1911.6,2475
3,Kerala,ALAPPUZHA,2002,Summer     ,Rice,8765,1901,2475
4,Kerala,ALAPPUZHA,2002,Whole Year ,Arecanut,2441,1910,2475
5,Kerala,ALAPPUZHA,2002,Whole Year ,Banana,470,1911,2475
6,Kerala,ALAPPUZHA,2002,Whole Year ,Bhindi,16,1912,2475
7,Kerala,ALAPPUZHA,2002,Whole Year ,Bitter Gourd,86,1913,2475
8,Kerala,ALAPPUZHA,2002,Whole Year ,Black pepper,1940,1914,2475
9,Kerala,ALAPPUZHA,2002,Whole Year ,Brinjal,55,1915,2475
10,Kerala,ALAPPUZHA,2002,Whole Year ,Cashewnut,4313,1916,2475
11,Kerala,ALAPPUZHA,2002,Whole Year ,Cashewnut Raw,4313,1917,2475
12,Kerala,ALAPPUZHA,2002,Whole Year ,Coconut ,55407,1918,2475
13,Kerala,ALAPPUZHA,2002,Whole Year ,Drum Stick,825,1919,2475
14,Kerala,ALAPPUZHA,2002,Whole Year ,Dry ginger,125,1915,2475
15,Kerala,ALAPPUZHA,2002,Whole Year ,Jack Fruit,3015,1915,2475
16,Kerala,ALAPPUZHA,2002,Whole Year ,Mango,5708,1915,2475
17,Kerala,ALAPPUZHA,2002,Whole Year ,Other Fresh Fruits,883,1915,2475
18,Kerala,ALAPPUZHA,2002,Whole Year ,other oilseeds,135,1915,2475
19,Kerala,ALAPPUZHA,2002,Whole Year ,Other Vegetables,1977,1915,2475
20,Kerala,ALAPPUZHA,2002,Whole Year ,Papaya,1099,1915,2475
21,Kerala,ALAPPUZHA,2002,Whole Year ,Pineapple,105,1915,2475
22,Kerala,ALAPPUZHA,2002,Whole Year ,Rubber,3825,1915,2475
23,Kerala,ALAPPUZHA,2002,Whole Year ,Snak Guard,76,1915,2475
24,Kerala,ALAPPUZHA,2002,Whole Year ,Sugarcane,120,1915,2475
25,Kerala,ALAPPUZHA,2002,Whole Year ,Sweet potato,1,1915,2475
26,Kerala,ALAPPUZHA,2002,Whole Year ,Tapioca,4121,1915,2475
27,Kerala,ALAPPUZHA,2002,Whole Year ,Turmeric,9,1916,2475
28,Kerala,ALAPPUZHA,2002,Winter     ,Rice,17149,1917,2475
29,Kerala,ALAPPUZHA,2003,Autumn     ,Rice,5650,1918,2324
30,Kerala,ALAPPUZHA,2003,Kharif     ,Sesamum,168,1919,2324
31,Kerala,ALAPPUZHA,2003,Kharif     ,Small millets,5,1920,2324
32,Kerala,ALAPPUZHA,2003,Summer     ,Rice,9727,1921,2324
33,Kerala,ALAPPUZHA,2003,Whole Year ,Arecanut,2416,1922,2324
34,Kerala,ALAPPUZHA,2003,Whole Year ,Banana,553,1915,2324
35,Kerala,ALAPPUZHA,2003,Whole Year ,Bhindi,11,1915,2324
36,Kerala,ALAPPUZHA,2003,Whole Year ,Bitter Gourd,90,1915,2324
37,Kerala,ALAPPUZHA,2003,Whole Year ,Black pepper,1997,1915,2324
38,Kerala,ALAPPUZHA,2003,Whole Year ,Brinjal,56,1915,2324
39,Kerala,ALAPPUZHA,2003,Whole Year ,Cashewnut,4092,1915,2324
40,Kerala,ALAPPUZHA,2003,Whole Year ,Coconut ,55982,1915,2324
41,Kerala,ALAPPUZHA,2003,Whole Year ,Drum Stick,851,1915,2324
42,Kerala,ALAPPUZHA,2003,Whole Year ,Dry ginger,117,1931.5,2324
43,Kerala,ALAPPUZHA,2003,Whole Year ,Jack Fruit,3015,1931.5,2324
44,Kerala,ALAPPUZHA,2003,Whole Year ,Mango,5371,1931.5,2324
45,Kerala,ALAPPUZHA,2003,Whole Year ,Other Fresh Fruits,762,1931.5,2324
46,Kerala,ALAPPUZHA,2003,Whole Year ,Other Vegetables,2262,1931.5,2324
47,Kerala,ALAPPUZHA,2003,Whole Year ,Papaya,1123,1932.5,2324
48,Kerala,ALAPPUZHA,2003,Whole Year ,Pineapple,87,1933.5,2324
49,Kerala,ALAPPUZHA,2003,Whole Year ,Snak Guard,93,1934.5,2324
50,Kerala,ALAPPUZHA,2003,Whole Year ,Sugarcane,162,1935.5,2324
51,Kerala,ALAPPUZHA,2003,Whole Year ,Sweet potato,1,1936.5,2324
52,Kerala,ALAPPUZHA,2003,Whole Year ,Tapioca,3602,1931.5,2324
